id,date,vaccines,confirmed,tests,recovered,deaths,population,confirmed_per,deaths_per,ratio,tests_per,vaccines_per,new_cases,new_cases_per
Germany,2021-10-31,112160354.0,4616609.0,79293892.0,4518026.0,98326.0,82905782.0,5568.5006384717535,118.59968946436088,2.12983165782504,95643.37985497803,1.352865280252709,7461.0,8.999372323633906
Germany,2021-11-01,112225242.0,4628098.0,,4529366.0,98474.0,82905782.0,5582.358538032969,118.7782053608758,2.127742325248947,,1.353647951840078,11489.0,13.857899561215163
Germany,2021-11-02,112439501.0,4652494.0,,4553474.0,98759.0,82905782.0,5611.78471243417,119.121969080516,2.1227109588964543,,1.3562323192367933,24396.0,29.426174401201024
Germany,2021-11-03,112730964.0,4688623.0,,4589295.0,99062.0,82905782.0,5655.363096388139,119.48744419297559,2.1128164921769144,,1.359747912395302,36129.0,43.57838395396902
Germany,2021-11-04,113031576.0,4725097.0,,4625474.0,99354.0,82905782.0,5699.357615371145,119.83965123204555,2.1026869924575093,,1.3633738597387575,36474.0,43.994518983005946
Germany,2021-11-05,113289271.0,4758858.0,,4658970.0,99615.0,82905782.0,5740.079744980875,120.15446642792658,2.0932543059700457,,1.3664821471679744,33761.0,40.72212960973047
Germany,2021-11-06,113361091.0,4782634.0,,4682586.0,99774.0,82905782.0,5768.758082518298,120.34625039783111,2.0861725986140693,,1.3673484317414677,23776.0,28.67833753742252
Germany,2021-11-07,113393416.0,4794514.0,80489683.0,4694341.0,99898.0,82905782.0,5783.08760177909,120.49581777058685,2.08358970273108,97085.72919558252,1.3677383321708492,11880.0,14.32951926079204
Germany,2021-11-08,113567116.0,4818790.0,,4718335.0,100168.0,82905782.0,5812.369033561496,120.82148866287758,2.078696104208733,,1.3698334815779194,24276.0,29.28143178240589
Germany,2021-11-09,113906371.0,4865985.0,,4765084.0,100551.0,82905782.0,5869.295099345423,121.28345885453442,2.0664058767135534,,1.3739255363395524,47195.0,56.9260657839277
Germany,2021-11-10,114305263.0,4916893.0,,4815643.0,100892.0,82905782.0,5930.699742992594,121.6947691296127,2.0519462188825344,,1.378736925730946,50908.0,61.404643647170815
Germany,2021-11-11,114717767.0,4966690.0,,4865061.0,101266.0,82905782.0,5990.764311227413,122.14588362485985,2.0389031729381135,,1.383712501499594,49797.0,60.06456823481858
Germany,2021-11-12,115049330.0,5012784.0,,4910830.0,101589.0,82905782.0,6046.362363483889,122.53548250711874,2.0265983932281944,,1.3877117762425786,46094.0,55.59805225647597
Germany,2021-11-13,115154024.0,5046829.0,,4944625.0,101838.0,82905782.0,6087.4270506247685,122.83582344112018,2.017861116356429,,1.3889745832202631,34045.0,41.06468714087987
Germany,2021-11-14,115202978.0,5065908.0,82126117.0,4963546.0,101996.0,82905782.0,6110.439920824822,123.02640122253476,2.0133804245951565,99059.57705097094,1.389565060733641,19079.0,23.01287020005384
Germany,2021-11-15,115449010.0,5100503.0,,4997805.0,102311.0,82905782.0,6152.168011635184,123.40635059687393,2.0059002023918033,,1.3925326703992733,34595.0,41.72809081036121
Germany,2021-11-16,115922972.0,5163569.0,,5060439.0,102738.0,82905782.0,6228.237494943356,123.92139308208925,1.9896703229878403,,1.398249545490084,63066.0,76.0694833081725
Germany,2021-11-17,116475919.0,5226771.0,,5123211.0,103164.0,82905782.0,6304.471019886164,124.43522937881461,1.9737616207023418,,1.4049191285596945,63202.0,76.23352494280789
Germany,2021-11-18,117059121.0,5288027.0,,5184015.0,103607.0,82905782.0,6378.357302027499,124.9695708798694,1.9592751701154325,,1.4119536439569438,61256.0,73.88628214133496
