TestGesamt,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Time
12374,3,4,260,24,8,2020-05-02
59457,101,21,4085,343,9,2020-05-02
269619,314,114,16814,1046,10,2020-05-02
7529,3,1,470,15,1,2020-05-03
10519,3,3,729,83,2,2020-05-03
32815,51,34,3456,136,3,2020-05-03
41188,39,9,4138,97,4,2020-05-03
24102,44,7,1483,134,5,2020-05-03
31215,38,9,2522,137,6,2020-05-03
53261,25,25,249,90,7,2020-05-03
12783,3,4,260,27,8,2020-05-03
60943,102,22,3785,336,9,2020-05-03
274355,308,114,17092,1055,10,2020-05-03
7637,2,1,456,18,1,2020-05-04
10837,3,3,715,87,2,2020-05-04
33646,51,35,3539,135,3,2020-05-04
41843,32,8,3827,102,4,2020-05-04
24613,53,7,1474,134,5,2020-05-04
31579,34,9,2455,130,6,2020-05-04
53512,24,25,255,90,7,2020-05-04
13040,3,4,260,27,8,2020-05-04
62364,107,19,3998,333,9,2020-05-04
279071,309,111,16979,1056,10,2020-05-04
7795,5,1,442,15,1,2020-05-05
11029,3,2,718,90,2,2020-05-05
34690,53,33,3445,137,3,2020-05-05
42706,33,7,3248,95,4,2020-05-05
25216,46,7,1481,134,5,2020-05-05
32158,32,9,2192,122,6,2020-05-05
54720,22,21,252,96,7,2020-05-05
13156,4,4,259,28,8,2020-05-05
64413,116,20,3603,325,9,2020-05-05
285883,314,104,15640,1042,10,2020-05-05
7847,4,1,418,12,1,2020-05-06
11483,2,3,727,85,2,2020-05-06
35997,55,29,2926,141,3,2020-05-06
43698,30,6,3067,96,4,2020-05-06
24790,52,7,1272,134,5,2020-05-06
33003,32,8,2042,109,6,2020-05-06
55574,18,19,240,90,7,2020-05-06
13324,3,4,260,22,8,2020-05-06
66538,125,20,3335,315,9,2020-05-06
292254,321,97,14287,1004,10,2020-05-06
8078,3,1,427,17,1,2020-05-07
11647,2,3,731,85,2,2020-05-07
37010,48,28,2807,142,3,2020-05-07
44417,25,7,3108,88,4,2020-05-07
25320,51,7,1273,134,5,2020-05-07
33702,31,7,1983,120,6,2020-05-07
56188,13,17,243,92,7,2020-05-07
13794,3,3,260,21,8,2020-05-07
67738,92,19,3233,311,9,2020-05-07
297894,268,92,14065,1010,10,2020-05-07
8145,6,0,400,16,1,2020-05-08
11980,1,2,731,79,2,2020-05-08
38048,45,28,2793,142,3,2020-05-08
45271,24,4,3110,92,4,2020-05-08
26080,43,7,1201,117,5,2020-05-08
34368,32,6,1975,126,6,2020-05-08
57044,15,14,236,86,7,2020-05-08
14274,1,2,264,25,8,2020-05-08
68859,91,18,3160,316,9,2020-05-08
304069,258,81,13870,999,10,2020-05-08
8255,6,0,449,21,1,2020-05-09
12208,1,2,731,78,2,2020-05-09
39532,47,25,2787,145,3,2020-05-09
46097,15,5,3609,99,4,2020-05-09
26560,22,3,1222,121,5,2020-05-09
35200,26,6,2051,123,6,2020-05-09
58452,21,18,221,74,7,2020-05-09
15160,1,1,98,25,8,2020-05-09
70226,91,19,3385,341,9,2020-05-09
311690,230,79,14553,1027,10,2020-05-09
8444,6,0,465,19,1,2020-05-10
12414,2,0,727,84,2,2020-05-10
40655,44,24,2946,146,3,2020-05-10
46687,13,6,3900,86,4,2020-05-10
26985,26,2,1218,122,5,2020-05-10
35795,21,5,2321,122,6,2020-05-10
58904,18,15,226,89,7,2020-05-10
15886,1,1,98,25,8,2020-05-10
70738,88,19,3459,342,9,2020-05-10
316508,219,72,15360,1035,10,2020-05-10
8477,3,0,430,19,1,2020-05-11
12496,1,0,730,91,2,2020-05-11
41724,46,23,3488,147,3,2020-05-11
47268,15,4,3607,93,4,2020-05-11
27325,27,3,1217,121,5,2020-05-11
36089,20,4,2343,123,6,2020-05-11
59430,16,13,229,93,7,2020-05-11
15886,1,1,98,25,8,2020-05-11
70789,82,20,3413,340,9,2020-05-11
319484,211,68,15555,1052,10,2020-05-11
8817,0,0,432,16,1,2020-05-12
12836,1,0,725,87,2,2020-05-12
42771,46,21,3460,149,3,2020-05-12
47935,17,3,3146,92,4,2020-05-12
27658,27,2,1217,122,5,2020-05-12
36535,18,4,2081,116,6,2020-05-12
61255,14,12,236,98,7,2020-05-12
16146,1,1,98,25,8,2020-05-12
75361,81,16,3169,312,9,2020-05-12
329314,205,59,14564,1017,10,2020-05-12
9162,4,0,411,16,1,2020-05-13
13172,2,0,721,85,2,2020-05-13
43776,44,21,2854,149,3,2020-05-13
48661,18,2,3042,87,4,2020-05-13
28272,13,2,1231,122,5,2020-05-13
37421,14,5,1867,110,6,2020-05-13
62847,13,9,199,83,7,2020-05-13
16463,0,0,100,26,8,2020-05-13
76478,80,16,3073,301,9,2020-05-13
336252,188,55,13498,979,10,2020-05-13
9482,3,0,422,13,1,2020-05-14
13509,2,0,723,83,2,2020-05-14
44954,42,20,2661,150,3,2020-05-14
49589,13,1,3087,83,4,2020-05-14
28942,13,2,1231,122,5,2020-05-14
38488,17,4,1780,119,6,2020-05-14
64061,12,9,193,81,7,2020-05-14
16748,0,0,100,21,8,2020-05-14
78833,78,18,2871,304,9,2020-05-14
344606,180,54,13068,976,10,2020-05-14
9635,4,0,418,15,1,2020-05-15
13750,2,0,725,80,2,2020-05-15
46257,40,18,2557,152,3,2020-05-15
50523,13,1,2967,80,4,2020-05-15
29600,10,2,1234,122,5,2020-05-15
39387,13,4,1752,113,6,2020-05-15
64844,13,8,192,87,7,2020-05-15
17136,0,0,100,25,8,2020-05-15
80219,70,14,2973,292,9,2020-05-15
351351,165,47,12918,966,10,2020-05-15
9599,3,0,442,16,1,2020-05-16
13890,1,0,729,78,2,2020-05-16
47426,36,17,2494,153,3,2020-05-16
51139,16,1,3378,90,4,2020-05-16
29989,9,2,268,7,5,2020-05-16
40431,12,4,1820,88,6,2020-05-16
65619,11,9,187,75,7,2020-05-16
17398,0,0,100,24,8,2020-05-16
81902,70,17,3161,319,9,2020-05-16
357393,158,50,12579,850,10,2020-05-16
10046,4,0,447,16,1,2020-05-17
13941,1,0,730,74,2,2020-05-17
48584,34,15,2638,155,3,2020-05-17
51753,12,4,3652,90,4,2020-05-17
30428,7,1,270,8,5,2020-05-17
41015,10,4,2142,110,6,2020-05-17
65989,10,7,190,77,7,2020-05-17
17809,0,0,100,24,8,2020-05-17
82944,71,17,3313,336,9,2020-05-17
362509,149,48,13482,890,10,2020-05-17
10384,3,0,396,17,1,2020-05-18
14011,1,0,730,79,2,2020-05-18
49590,34,15,3228,155,3,2020-05-18
52287,10,2,3342,91,4,2020-05-18
30480,9,1,268,8,5,2020-05-18
41389,10,4,2161,123,6,2020-05-18
66285,12,6,186,94,7,2020-05-18
17898,0,0,100,24,8,2020-05-18
83745,72,17,3252,322,9,2020-05-18
366069,151,45,13663,913,10,2020-05-18
10431,2,0,379,17,1,2020-05-19
14410,1,0,717,74,2,2020-05-19
50494,31,14,3223,156,3,2020-05-19
52924,11,1,2821,78,4,2020-05-19
30881,7,1,270,8,5,2020-05-19
42090,10,4,1778,126,6,2020-05-19
66854,13,5,181,87,7,2020-05-19
18104,1,0,99,28,8,2020-05-19
86247,67,14,3064,306,9,2020-05-19
372435,143,39,12532,880,10,2020-05-19
10882,1,0,383,16,1,2020-05-20
14763,1,0,687,81,2,2020-05-20
51582,27,14,2590,156,3,2020-05-20
54237,15,0,2644,88,4,2020-05-20
31196,6,1,271,8,5,2020-05-20
42955,10,2,1675,124,6,2020-05-20
67391,9,6,179,87,7,2020-05-20
18390,1,0,99,30,8,2020-05-20
88196,67,14,2953,291,9,2020-05-20
379592,137,37,11481,881,10,2020-05-20
10958,3,0,445,17,1,2020-05-21
14910,1,0,687,78,2,2020-05-21
52614,29,13,2435,157,3,2020-05-21
55012,14,0,3074,85,4,2020-05-21
31329,5,0,272,9,5,2020-05-21
44061,7,2,1677,111,6,2020-05-21
67834,10,4,150,82,7,2020-05-21
18691,1,0,99,26,8,2020-05-21
90228,86,13,3119,304,9,2020-05-21
385637,156,32,11958,869,10,2020-05-21
10959,1,0,445,16,1,2020-05-22
15022,1,0,687,79,2,2020-05-22
53663,26,12,2435,158,3,2020-05-22
55839,12,0,3176,90,4,2020-05-22
31536,4,0,273,9,5,2020-05-22
44859,8,2,1960,114,6,2020-05-22
68390,9,3,160,74,7,2020-05-22
18917,1,0,99,26,8,2020-05-22
91303,66,14,3071,311,9,2020-05-22
390488,128,31,12306,877,10,2020-05-22
11134,1,0,453,17,1,2020-05-23
15144,0,0,688,82,2,2020-05-23
56075,24,11,2945,159,3,2020-05-23
56186,11,0,3408,94,4,2020-05-23
31748,4,0,273,9,5,2020-05-23
45449,8,2,1834,119,6,2020-05-23
68790,9,3,160,74,7,2020-05-23
18917,0,0,100,26,8,2020-05-23
92920,59,12,3263,319,9,2020-05-23
396363,116,28,13124,899,10,2020-05-23
11300,2,0,465,16,1,2020-05-24
15198,0,0,688,88,2,2020-05-24
57841,20,11,2746,159,3,2020-05-24
56693,9,0,3575,104,4,2020-05-24
31854,4,0,273,9,5,2020-05-24
45985,6,1,2118,110,6,2020-05-24
69231,9,4,149,80,7,2020-05-24
19543,0,0,100,26,8,2020-05-24
94212,58,13,3253,313,9,2020-05-24
401857,108,29,13367,905,10,2020-05-24
11416,2,0,418,16,1,2020-05-25
15255,0,0,688,86,2,2020-05-25
58868,21,11,3215,159,3,2020-05-25
57222,8,1,3334,109,4,2020-05-25
31932,2,0,275,9,5,2020-05-25
46349,6,1,2144,120,6,2020-05-25
69519,9,4,151,82,7,2020-05-25
19543,0,0,100,26,8,2020-05-25
95237,60,14,3161,313,9,2020-05-25
405341,108,31,13486,920,10,2020-05-25
11571,2,0,375,18,1,2020-05-26
15717,0,0,688,86,2,2020-05-26
60525,19,13,3165,157,3,2020-05-26
57949,6,1,2679,89,4,2020-05-26
32097,2,0,275,9,5,2020-05-26
