Time,Bundesland,BundeslandID,AnzEinwohner,AnzahlFaelle,AnzahlFaelleSum,AnzahlFaelle7Tage,SiebenTageInzidenzFaelle,AnzahlTotTaeglich,AnzahlTotSum,AnzahlGeheiltTaeglich,AnzahlGeheiltSum
2020-11-07,Kärnten,2,561293,190,4964,1975,351.8661,5,54,177,2354
2020-11-07,Niederösterreich,3,1684287,904,22868,6420,381.1702,12,266,558,13486
2020-11-07,Oberösterreich,4,1490279,1514,29700,10656,715.0339,17,213,965,15232
2020-11-07,Salzburg,5,558410,308,10441,3247,581.4724,3,69,338,6277
2020-11-07,Steiermark,6,1246395,788,15602,5462,438.2238,10,316,261,7270
2020-11-07,Tirol,7,757634,517,19322,5175,683.0475,11,181,585,12923
2020-11-07,Vorarlberg,8,397139,409,8731,2893,728.4603,2,54,323,5322
2020-11-07,Wien,9,1911191,439,39742,6308,330.056,6,418,289,22887
2020-11-07,Österreich,10,8901064,5318,155475,43501,488.7169,68,1608,3596,87800
2020-11-08,Burgenland,1,294436,200,4305,1438,488.3914,9,46,130,2179
2020-11-08,Kärnten,2,561293,159,5123,2049,365.05,3,57,124,2478
2020-11-08,Niederösterreich,3,1684287,846,23714,6489,385.2669,9,275,533,14019
2020-11-08,Oberösterreich,4,1490279,1622,31322,11267,756.033,12,225,727,15959
2020-11-08,Salzburg,5,558410,408,10849,3244,580.9352,1,70,307,6584
2020-11-08,Steiermark,6,1246395,722,16324,5722,459.084,7,323,352,7622
2020-11-08,Tirol,7,757634,740,20062,5453,719.7407,1,182,567,13490
2020-11-08,Vorarlberg,8,397139,367,9098,2871,722.9207,5,59,383,5705
2020-11-08,Wien,9,1911191,682,40424,6238,326.3933,3,421,267,23154
2020-11-08,Österreich,10,8901064,5746,161221,44771,502.9848,50,1658,3390,91190
2020-11-09,Burgenland,1,294436,307,4612,1538,522.3546,1,47,157,2336
2020-11-09,Kärnten,2,561293,246,5369,2073,369.3258,7,64,200,2678
2020-11-09,Niederösterreich,3,1684287,1011,24725,6637,394.054,8,283,600,14619
2020-11-09,Oberösterreich,4,1490279,1265,32587,11433,767.1718,22,247,1020,16979
2020-11-09,Salzburg,5,558410,312,11161,3305,591.859,5,75,366,6950
2020-11-09,Steiermark,6,1246395,742,17066,6042,484.7581,15,338,531,8153
2020-11-09,Tirol,7,757634,820,20882,5477,722.9084,5,187,622,14112
2020-11-09,Vorarlberg,8,397139,415,9513,2993,753.6404,3,62,353,6058
2020-11-09,Wien,9,1911191,1131,41555,6333,331.364,6,427,366,23520
2020-11-09,Österreich,10,8901064,6249,167470,45831,514.8935,72,1730,4215,95405
2020-11-10,Burgenland,1,294436,184,4796,1510,512.8449,1,48,160,2496
2020-11-10,Kärnten,2,561293,437,5806,2262,402.9981,5,69,139,2817
2020-11-10,Niederösterreich,3,1684287,956,25681,6745,400.4662,13,296,634,15253
2020-11-10,Oberösterreich,4,1490279,1805,34392,11668,782.9407,13,260,1149,18128
2020-11-10,Salzburg,5,558410,299,11460,3166,566.9669,2,77,360,7310
2020-11-10,Steiermark,6,1246395,867,17933,6031,483.8755,17,355,538,8691
2020-11-10,Tirol,7,757634,988,21870,5668,748.1185,4,191,482,14594
2020-11-10,Vorarlberg,8,397139,537,10050,3097,779.8277,2,64,371,6429
2020-11-10,Wien,9,1911191,1370,42925,6775,354.491,7,434,594,24114
2020-11-10,Österreich,10,8901064,7443,174913,46922,527.1505,64,1794,4427,99832
2020-11-11,Burgenland,1,294436,135,4931,1451,492.8066,2,50,207,2703
2020-11-11,Kärnten,2,561293,845,6651,2569,457.6932,5,74,178,2995
2020-11-11,Niederösterreich,3,1684287,1076,26757,6882,408.6002,10,306,732,15985
2020-11-11,Oberösterreich,4,1490279,2002,36394,12132,814.0757,16,276,1243,19371
2020-11-11,Salzburg,5,558410,788,12248,3467,620.87,8,85,427,7737
2020-11-11,Steiermark,6,1246395,1039,18972,6268,502.8904,14,369,521,9212
2020-11-11,Tirol,7,757634,1007,22877,5846,771.6127,8,199,566,15160
